MWSC,Name,GLON,GLAT,d
1,Berkeley_58,116.75,-1.326,2700.0
2,NGC_7801,114.717,-11.331,1953.0
3,FSR_0459,116.446,-2.99,2926.0
4,Stock_18,117.617,2.266,774.0
5,Berkeley_59,118.219,5.001,1000.0
6,Cep_OB4,118.299,5.062,850.0
7,Blanco_1,14.83,-79.098,250.0
8,Berkeley_104,117.615,1.202,3599.0
9,IRAS_00013+6817,118.595,6.091,1338.0
14,FSR_0504,121.227,19.116,3744.0
16,BDB_94,118.332,3.154,1700.0
17,Czernik_1,117.721,-0.941,2609.0
18,SAI_1,116.177,-10.586,1905.0
19,ASCC_1,118.158,0.217,1600.0
20,Berkeley_1,117.79,-1.99,10300.0
21,King_13,117.96,-1.291,3100.0
23,Alessi_20,117.648,-3.708,470.0
24,FSR_0474,117.813,-2.735,4638.0
25,FSR_0480,118.583,-1.095,5492.0
26,PTB_7,119.577,5.679,3233.0
27,BDSB_48,118.614,-1.313,8000.0
28,Juchert-Saloran_1,118.541,-2.613,5326.0
29,Berkeley_60,118.839,-1.673,3299.0
31,ASCC_2,118.397,-6.948,2301.0
32,FSR_0486,118.973,-3.304,1850.0
33,FSR_0479,118.546,-7.791,2038.0
34,Mayer_1,119.456,-0.935,1430.0
35,King_1,119.758,1.69,1659.0
36,FSR_0477,118.463,-10.745,1908.0
37,SAI_4,119.746,0.007,1600.0
38,NGC_104,305.904,-44.885,4501.0
39,Stock_20,119.92,-0.12,1100.0
40,NGC_103,119.771,-1.373,2501.0
41,Berkeley_2,119.696,-2.328,5499.0
42,FSR_0494,120.084,1.018,5087.0
44,FSR_0496,120.223,1.285,1123.0
45,NGC_110,120.996,8.637,1600.0
46,SAI_6,120.049,-2.066,3100.0
48,FSR_0481,118.586,-19.406,2164.0
50,FSR_0498,120.344,-0.354,1800.0
51,FSR_0503,120.938,6.104,4701.0
52,Stock_21,120.107,-4.828,1700.0
53,NGC_129,120.285,-2.563,1685.0
54,ASCC_3,120.005,-7.484,1550.0
55,NGC_133,120.668,0.559,1861.0
56,NGC_136,120.563,-1.274,3519.0
57,King_14,120.743,0.388,2600.0
58,King_15,120.733,-0.905,5500.0
59,NGC_146,120.847,0.505,2800.0
62,NGC_189,121.483,-1.726,1300.0
63,Stock_24,121.555,-0.879,2400.0
65,Dolidze_12,121.628,-1.993,4000.0
66,FSR_0508,121.917,2.1,5053.0
67,Dias_1,121.962,1.202,2186.0
68,NGC_225,121.953,-1.077,850.0
69,Czernik_2,121.963,-2.708,4500.0
70,King_16,122.102,1.317,2325.0
71,FSR_0507,121.778,-10.498,2203.0
73,Berkeley_4,122.239,1.516,3300.0
74,NGC_188,122.839,22.381,2000.0
75,Berkeley_61,122.624,4.32,2153.0
76,Dolidze_13,122.775,1.216,2400.0
77,FSR_0515,122.823,-8.11,2362.0
78,FSR_0516,122.837,3.09,810.0
79,King_2,122.859,-4.674,5499.0
80,FSR_0518,122.888,-18.59,2154.0
81,Cas_OB7,122.755,1.266,2600.0
83,FSR_0519,123.04,1.792,1517.0
84,NGC_288,151.377,-89.386,8912.0
85,IC_1590,123.115,-6.245,2400.0
86,FSR_0521,123.121,-3.039,2534.0
87,ASCC_4,123.146,-1.274,550.0
88,Alessi_1,123.238,-13.394,750.0
89,FSR_0522,123.19,2.923,2094.0
92,FSR_0524,123.61,-0.742,1841.0
93,ASCC_5,123.802,-7.01,523.0
94,Skiff_J0058+68.4,123.548,5.598,2000.0
97,Berkeley_62,123.99,1.08,2000.0
98,Czernik_3,124.266,-0.058,1600.0
99,NGC_362,301.526,-46.246,8603.0
101,Cas_OB1,123.979,-1.397,3000.0
102,NGC_366,124.686,-0.6,2200.0
104,Pfleiderer_1,124.639,2.842,4126.0
105,NGC_381,124.948,-1.229,1200.0
106,BDSB_51,124.867,0.308,12002.0
107,FSR_0530,125.731,-5.779,3501.0
108,Stock_3,125.335,-0.52,1363.0
109,Platais_2,128.208,-30.605,190.0
110,NGC_433,125.886,-2.616,1650.0
111,NGC_436,126.108,-3.913,3000.0
112,FSR_0534,126.044,-1.418,1800.0
113,FSR_0537,126.342,-2.345,2075.0
114,NGC_457,126.635,-4.392,2400.0
115,FSR_0544,127.29,-9.968,1799.0
116,FSR_0536,126.125,0.368,3001.0
117,FSR_0538,126.31,1.029,2146.0
119,FSR_0542,126.818,0.369,1934.0
120,SAI_14,126.898,0.005,5086.0
121,FSR_0560,129.815,-18.231,1907.0
122,NGC_559,127.189,0.742,2200.0
123,FSR_0547,127.599,-1.814,2800.0
124,NGC_581,128.033,-1.808,2199.0
125,FSR_0531,125.739,12.096,3896.0
126,Czernik_4,128.178,-0.961,1632.0
127,Trumpler_1,128.214,-1.146,2399.0
128,NGC_609,127.736,2.08,4499.0
129,FSR_0546,127.59,3.39,2501.0
130,FSR_0549,127.824,3.505,6001.0
131,FSR_0551,128.024,2.478,3500.0
132,FSR_0553,128.222,2.15,7500.0
133,NGC_637,128.545,1.735,2304.0
134,FSR_0539,126.454,11.885,2121.0
135,NGC_657,130.222,-6.298,1934.0
137,NGC_654,129.072,-0.347,1786.0
138,NGC_659,129.368,-1.542,2300.0
139,NGC_663,129.47,-0.953,2100.0
140,Collinder_463,127.461,9.415,800.0
141,ASCC_6,130.36,-4.388,1350.0
142,Berkeley_5,129.277,0.753,6000.0
143,Collinder_21,138.704,-33.956,1400.0
